tensor_id,filename,label
0,pneumocandin.fasta,1
1,BGC0000266.fasta,0
2,BGC0000692.fasta,0
3,BGC0000722.fna,0
4,Totopotensamide_A.fasta,1
5,BGC0000564.fasta,0
6,MW560484.1.fasta,1
7,BGC0002633.fna,0
8,BGC0000801.fna,0
9,BGC0000895.fna,0
10,BGC0000930.fasta,0
11,BGC0001057.fasta,1
12,cornexistin_BGC0001436.fasta,0
13,BGC0001839.fna,0
14,BGC0001396.fasta,0
15,BGC0000457.fasta,1
16,BGC0000636.fna,0
17,BGC0001457.fna,1
18,BGC0000886.fasta,0
19,BGC0001607.fasta,0
20,BGC0001684.fna,0
21,BGC0001283.fna,0
22,BGC0002009.fna,0
23,doxorubicin.fasta,0
24,BGC0001765.fna,0
25,BGC0002677.fna,0
26,BGC0002712.fna,0
27,BGC0001726_pactamides.fasta,1
28,chejuenolide.fasta,0
29,BGC0001122.fasta,1
30,BGC0000047.fasta,0
31,tetronasin.fasta,0
32,BGC0001564_cusperin.fasta,1
33,BGC0002046.fna,1
34,BGC0002197.fna,1
35,BGC0001133.fna,1
36,BGC0001632.fasta,0
37,BGC0002103.fna,0
38,ergovaline.fasta,1
39,BGC0001606_gibepyrone_A.fasta,0
40,BGC0001254.fasta,0
41,BGC0001292.fasta,0
42,polyoxypeptin.fasta,1
43,BGC0000790.fna,0
44,BGC0002070.fna,0
45,coelimycin.fasta,0
46,BGC0001742_piericidin_A1.fasta,0
47,staphylococcin_C55.fasta,0
48,BGC0002152.fna,0
49,BGC0001814_ulleungmycin.fasta,1
50,BGC0001237.fasta,0
51,BGC0001294.fna,0
52,BGC0001910.fna,0
53,BGC0002707.fna,0
54,BGC0000663.fna,0
55,BGC0000792.fna,0
56,BGC0001445_Leporin_B.fasta,1
57,BGC0000150.fasta,1
58,calyculin.fasta,1
59,BGC0001690_natamycin.fasta,0
60,BGC0002093.fna,1
61,BGC0000731.fna,0
62,naphthyridinomycin.fasta,1
63,BGC0002445.fna,0
64,BGC0001570_deimino_antipain.fasta,1
65,BGC0002386.fna,1
66,BGC0002607.fasta,1
67,pelgipeptin.fasta,1
68,BGC0001328_Rakicidin_B.fasta,1
69,fusaridione_A.fasta,1
70,vincenistatin.fasta,0
71,mathermycin.fasta,0
72,BGC0000215.fasta,0
73,BGC0000237.fasta,0
74,BGC0002576.fasta,0
75,FN547928.1.fasta,1
76,BGC0002215.fna,0
77,BGC0001747.fna,0
78,althiomycin.fasta,1
79,BGC0000747.fna,0
80,coelibactin.fasta,1
81,BGC0001651.fna,0
82,BGC0002615.fasta,0
83,BGC0000539.fasta,0
84,BGC0002568.fna,0
85,BGC0000934.fasta,0
86,BGC0001262.fna,0
87,BGC0002172.fna,1
88,BGC0000714.fasta,0
89,matlystatins_BGC0001443.fasta,1
90,BGC0002688.fna,1
91,BGC0000234.fna,0
92,gassericin_A.fasta,0
93,BGC0000646.fna,0
94,Hectochlorin.fasta,1
95,BGC0001903.fna,0
96,BGC0002412.fasta,1
97,Hedamycin.fasta,0
98,BGC0001238.fna,0
99,BGC0000948.fna,0
100,MT149902.1.fasta,0
101,ficellomycin.fasta,1
102,napsamycin.fasta,1
103,BGC0001773_selvamicin.fasta,0
104,BGC0001677.fasta,0
105,BGC0000459.fna,1
106,stenothricin.fasta,1
107,BGC0000368.fna,1
108,plantazolicin.fasta,0
109,BGC0000990.fna,1
110,BGC0001007.fasta,1
111,BGC0001648_lasalocid.fasta,0
112,BGC0000802.fna,0
113,BGC0001491_67_121C.fasta,0
114,BGC0001622_isotropolone_C.fasta,0
115,cladoniamide.fasta,0
116,yersiniabactin.fasta,1
117,BGC0001413.fasta,1
118,BGC0002362.fasta,0
119,BGC0001503_amycolamycin_B.fasta,0
120,BGC0001409.fasta,0
121,BGC0002649.fna,1
122,MH743142.1.fasta,0
123,BGC0001653_linfuranone_C.fasta,0
124,BGC0002510.fasta,0
125,BGC0001886.fna,0
126,ikarugamycin.fasta,1
127,microcystin.fasta,1
128,BGC0002261.fna,0
129,BGC0002488.fna,0
130,depudecin.fasta,0
131,BGC0001637.fna,1
132,nanchangmycin.fasta,0
133,MK388866.1.fasta,0
134,chloramphenicol.fasta,1
135,BGC0000860.fasta,0
136,BGC0002268.fna,1
137,BGC0002095.fna,1
138,BGC0002137.fna,0
139,BGC0002352.fna,0
140,BGC0001650_Le_pyrrolopyrazines.fasta,1
141,pellasoren.fasta,1
142,BGC0002617.fna,1
143,BGC0001487.fna,0
144,EF472579.1.fasta,1
145,LC572270.1.fasta,0
146,bongkrekic_acid.fasta,0
147,BGC0002104.fasta,1
148,BGC0002245.fna,0
149,BGC0000654.fna,0
150,BGC0002480.fna,1
151,phthoxazolin.fasta,1
152,geobacillin_I.fasta,0
153,BGC0000128.fasta,0
154,BGC0000880.fasta,0
155,cylindrocyclophane.fasta,0
156,BGC0002470.fna,0
157,BGC0001490.fna,0
158,BGC0001065.fasta,0
159,guadinomine.fasta,1
